ID,APP_NAME
1,Golf GPS & Scorecard-Hole19
2,Cheap hotel deals
3,Seven-7 Minute
4,365Scores:Sports
5,Kornoot-Cycling & Hiking Maps
6,Runtastic Pro
7,Onefootball-Football scores
8,SofaScore Live Score
9,StrongLifts 5x5
10,Citymapper
11,Fluenty
12,Weather Live Free
13,video call & chat ICQ
14,"Any.do:To-do list,Calendar,Reminders & Tasks"
15,Sleep as Android
16,Android Wear-Smartwatch
17,Water Drink
18,Endomond o-Running & Walking
19,Calculator
20,Heart Rate Monitor & Tracker
21,RunKeeper-GPS
22,Calculator for Android Wear
23,Google Fit-Fitness Tracking
24,PixtoCam for Android Wear
25,PaperCraft
